game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
Filler,1,0,60,10,50,27,18.0,9000,
Find_Girlfriend!,1,0,15,15,0,7,4.4,13,
Fireproof_bomber,1,0,5,0,5,0,0,13000,
Fish_Friend,1,0,57,1,9,10,10.0,1000,
Five_Pulloban_Puzzles,1,0,1,0,1,0,0,2000,
Flash_Point__Fire_Rescue,1,1,4,0,4,0,0,1000,
Flippin'_Ladybug,1,0,6,0,6,0,0,23000,
Flipush__An_Exciting_Square_Game,1,1,6,0,6,0,0,2000,
Flood,1,0,9,6,3,45,14.0,13000,
Floor_Painter,1,0,12,10,2,25,11.5,14000,
Flower_Bed,1,0,24,8,16,14,8.8,5000,
Flower_Dance,1,0,1,0,1,0,0,2000,
Flying_Kick,1,1,16,11,5,30,18.5,10000,
Footprint_Puzzle_,1,0,4,2,2,21,12.0,15000,
Forest_Road,1,1,10,0,10,0,0,5000,
Forest_of_Tizenhat,1,0,18,11,7,19,14.2,4000,
Forever_Hallway,1,0,2,2,0,20,17.0,103,
Four-room_tilt_mazes,1,0,3,3,0,33,29.7,63,
Four_Colour_Theorem,1,1,3,0,3,0,0,10000,
Fox_Cave_v0.32_(this_version_added_Demon),1,0,11,2,9,11,6.0,19000,
Fractured_Identity,1,0,11,5,6,31,22.0,28000,
Freeform_Bal_Ru's_Curse,1,1,1,0,1,0,0,24000,
Frogbike__Magnet_Hero,1,0,2,1,1,19,19.0,14000,
Fruit_Ghost,1,0,1,1,0,7,7.0,88,
Futuristic_Block_Pushing_Game,1,0,1,0,1,0,0,22000,
GASP,1,0,3,1,2,16,16.0,57053,
GDD301_Demo_Game,1,0,5,4,0,13,9.0,2971,
GDD301_Game,1,0,10,10,0,21,9.6,43,
GDD301_Lab_010_,1,0,10,4,6,26,17.2,19000,
Game_101,1,0,7,7,0,8,4.9,367,
Game_Loading,1,1,3,2,1,28,21.0,12000,
Game_One,1,0,6,6,0,26,9.8,3863,
Gamlet_v16.09.04_Alpha,0,1,0,0,0,0,0,0,UnitTestingThrow is not defined
Gears,1,0,1,0,1,0,0,22000,
Getting_ready_for_bed._,1,1,1,0,0,0,0,4044,
Gingham,1,0,6,2,4,23,17.0,3000,
Give_me_ur_key,1,1,1,0,1,0,0,4000,
Gloves_and_Boots,1,0,11,11,0,2,2.0,1,
Glue_Factory,1,0,4,3,1,18,15.3,19000,
Go,1,0,5,0,5,0,0,9000,
Gobble_Rush!,1,1,21,21,0,30,15.6,1860,
Goblin_Hooblob,1,0,6,4,2,24,19.2,17000,
Goblin_Slayer,1,1,1,0,1,0,0,1000,
Godzilla,1,0,8,3,5,13,11.3,16000,
Good_Example,1,0,1,0,1,0,0,9000,
Good_title_for_my_puzzle_game,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Government_Final_Exam,1,1,5,0,4,0,0,17000,
Graded_Sir,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Grandma's_Christmas_Kisses,1,1,10,4,6,25,17.5,17000,
Gravity_Sokoban,1,0,10,7,2,16,11.7,24000,
Greedy_Explorer,1,0,10,1,9,16,16.0,31000,
Grunt_work_of_the_revolution,1,1,9,0,9,0,0,14000,
Hack_It!,1,1,2,1,1,2,2.0,6000,
Hack_It!_-_Tilt_Game,1,1,1,0,1,0,0,11000,
Hamiltwo,1,0,2,1,1,16,16.0,28000,
Handle_with_Care,1,0,3,0,3,0,0,2000,
Hanoi__Winter,1,0,5,2,3,45,24.0,34000,
Harvesting_Apples,1,0,1,0,1,0,0,31000,
Harvesting_Apples_II,1,0,1,0,1,0,0,26000,
Hazard_Golf,1,1,9,1,8,13,13.0,4000,
Heavy_Sword,1,0,10,8,2,53,26.9,19000,
Hector,1,1,23,3,20,50,36.3,9000,
Helping,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Hero,1,0,25,9,16,38,18.4,15000,
Heroes_of_Sokoban_-_Ancient_Japan,1,0,6,4,2,30,15.8,22000,
Heroes_of_Sokoban_III__The_Bard_and_The_Druid,1,0,22,6,16,55,30.7,30000,
Heroes_of_Sokoban_II__Monsters,1,0,22,7,15,31,23.4,18000,
Heroes_of_Sokoban_and_Other_Tales__The_Ranger,1,0,22,9,13,26,13.6,25000,
Heroes_of_Sokoban_and_Other_Tales__The_Rogue,1,0,18,10,8,39,20.6,24000,
Heroes_of_sokoban_edited,1,0,25,9,16,33,18.0,30000,
"Hi,_Vmind!",1,1,19,9,8,32,11.3,15000,
High_Noon_RPG_game,1,0,14,10,3,12,3.7,8000,
Hill_Buddies,1,0,1,1,0,18,18.0,3246,
Hitori,1,0,16,0,16,0,0,23000,
Honey_Giants,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
How_Many_Digits_Of_Pi_Do_You_Know_,1,0,21,21,0,13,7.9,65,
Hungry_Kitty,1,0,10,10,0,9,6.6,26,
HyperMaze,1,0,1,1,0,35,35.0,83,
Hysteresis_mazes,1,0,5,5,0,77,57.2,168,
I'm_Sick_Today,1,1,13,9,4,13,7.1,76000,
I'm_too_far_gone,1,1,1,0,1,0,0,2000,
IDIBAW,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
IDOLS_TO_THE_BURNT_GOD,1,1,27,2,25,24,17.5,18000,
IMS445_Puzzlescript_Game__Buoy_Deploy_,1,1,7,0,7,0,0,25000,
I_Only_Play_REAL_Multiban,1,0,5,2,3,15,10.5,57000,
Ice_Block_Game,1,0,1,0,1,0,0,18000,
Ice_Breaker,1,1,1,0,1,0,0,17000,
Ice_Cubes,1,0,29,17,12,41,11.9,17000,
Ice_Maze,1,0,4,1,3,12,12.0,37000,
Ice_and_Tar,1,0,12,3,9,72,35.3,31000,
Illuminate,1,0,31,12,19,13,7.9,10000,
Impasse,1,0,23,23,0,30,19.7,544,
Impetus,1,1,5,5,0,4,4.0,37,
Impossible_Sokoban,1,0,1,0,1,0,0,12000,
Impostor_crated!,1,0,1,0,1,0,0,5000,
Inchworm,1,0,1,1,0,21,21.0,175,
Indiana_Jones_And_His_Adventure_In_The_Lost_Temple_Of_Owls,1,0,3,1,2,5,5.0,9000,
Indigestion,1,0,16,4,12,21,15.5,9000,
Infected_World,1,1,21,5,16,154,64.4,17000,
Insey_Winsey_Spider,1,1,6,4,2,62,45.0,2000,
Instrumenta_de_Superi,1,1,8,5,3,12,9.4,13000,
Inswaption,1,1,21,7,14,121,34.7,13000,
Involuntary_Line_Force_Plus,1,0,13,10,3,36,22.3,58000,
Isle_of_Sokoban,1,0,8,4,4,8,5.2,26000,
It_Dies_In_The_Light,1,0,4,1,3,33,33.0,5000,
It_Is_Pitch_Black,1,0,5,5,0,23,15.4,1331,
JAM3_Game,1,1,15,15,0,3,3.0,6,
Jailbreak,1,1,6,3,3,23,11.0,2000,
Janitor_Ted,1,0,12,8,4,44,18.6,19000,
Jesus_Respawns,1,1,12,8,4,40,19.5,28000,
Jormungandr,1,0,1,0,1,0,0,1000,
Jump_Fox,1,0,1,0,0,0,0,303,
Juxtaposition,1,0,16,8,8,45,22.5,36000,
Keys_and_Doors_0.1.0,1,0,5,2,3,20,12.5,35000,
Kick_the_Can,1,0,9,0,9,0,0,8000,
Kicking_walls,1,0,5,2,3,35,34.0,26000,
KidsCoding,1,1,7,1,6,6,6.0,20000,
Kill_the_eyes,1,0,1,1,0,12,12.0,974,
King_of_walls,1,0,1,0,1,0,0,21000,
Kiri's_Garden,1,1,21,0,21,0,0,12000,
Knight's_Tour,1,0,6,2,4,31,22.0,17000,
Knighted_chtp_2,1,1,1,0,1,0,0,1000,
Knightoban,1,0,6,4,2,36,21.8,75000,
L.A.S.E.R,1,0,20,15,5,55,24.4,48000,
LA_CASE_DE_CANIMI_YE_PAPEL,1,0,10,10,0,16,11.8,686,
Labyrinth,1,0,11,4,7,82,49.8,24000,
LameLightsOut,1,0,4,4,0,7,5.5,52,
Laser,1,0,4,4,0,42,37.0,8770,
Lasers_[study],1,0,1,0,0,0,0,200,
Laserverse,1,0,11,0,3,0,0,13662,
Last_day_of_the_year,1,0,1,0,1,0,0,21000,
Lawn-Mowing_Robot,1,0,9,0,8,0,0,97000,
Leo,1,0,13,2,11,87,51.5,61000,
Let_me_through_,1,0,7,1,6,10,10.0,8000,
Lieutenant_Americium_,1,1,12,8,4,17,8.0,34000,
Life_at_Home_Depot,1,0,9,3,6,15,12.3,40000,
Life_is_Hard,1,1,5,0,5,0,0,1000,
Light_Knight,1,0,1,1,0,1,1.0,0,
Light_Maze,1,0,5,0,5,0,0,3000,
Lights_Out,1,0,10,3,7,42,22.3,14000,
Lime_Richard,1,0,10,9,1,28,14.4,36000,
Lime_Rick,1,0,11,2,9,42,32.5,21000,
Line_Force,1,0,1,1,0,25,25.0,17339,
Line_of_Sight,1,0,3,3,0,29,24.3,14120,
Linked,1,0,7,7,0,1,1.0,0,
Liquid_War_Alpha,1,1,1,0,1,0,0,1000,
Lis'_game_development_adventure,1,0,9,7,1,107,32.0,100000,
Little_Dungeons,1,1,6,0,6,0,0,11000,
"Little_Girl,_Big_World",1,0,5,5,0,37,24.2,5587,
Little_Glube,1,0,1,0,1,0,0,61000,
Logger_Isles,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Lord_of_darkness,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Loup-Mouton-Chou,1,0,1,1,0,34,34.0,1127,
Love_and_Pieces,1,0,9,8,0,21,14.6,36029,
Lufia_Puzzle_Remake,1,0,1,0,1,0,0,35000,
Luxbend,1,1,1,0,1,0,0,52000,
Luxbend_II__Marbles,1,1,1,0,1,0,0,65000,
MATCH_3_PUZZLE,1,0,1,0,1,0,0,19000,
MC_Escher's_Equestrian_Armageddon,1,0,4,4,0,141,42.0,1921,
Magical_Shoe_Adventure,1,0,6,6,0,32,20.5,4831,
Magik,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Magnet_Jack,1,0,6,5,1,47,22.6,21000,
Magnetoban,1,0,12,0,12,0,0,13000,
Magnetron,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Manni_the_Mountaineer,1,1,6,3,3,31,26.7,6000,
Marble_Shoot,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Mars_Attacks,1,0,7,6,1,18,13.0,20000,
MatchLess_0.2,1,1,1,0,1,0,0,2000,
Match_Flow,1,1,14,6,6,17,9.5,66000,
Match_Pub,1,1,10,2,8,9,7.5,19000,
Maze_it_all,1,0,4,2,2,58,51.0,17967,
Meatball,1,0,2,0,2,0,0,39000,
Medusa's_Wrath_v0.2.1,1,1,14,5,2,7,3.8,26000,
Memories_Of_Castlemouse,1,0,10,10,0,9,4.9,396,
Memory_Push,1,0,9,2,7,17,13.0,47000,
Memory_path,1,0,12,8,4,55,26.2,73000,
Merge_and_Swap,1,0,8,5,3,44,17.6,56000,
Merger_Tiles_-_2048_Remix_,1,1,1,0,1,0,0,23000,
Metal_and_Grass,1,1,8,0,0,0,0,4,
Metamorph,1,0,4,4,0,18,12.5,1699,
Mice_and_Cheese,1,0,15,13,2,18,11.2,23000,
Michael_Bay's_Legend_of_Zelda,1,0,3,3,0,28,19.0,16377,
MicroChip,1,0,3,0,2,0,0,15000,
Microban_I,1,0,155,62,92,429,57.8,100000,
Microbe_Destroyers,1,0,8,5,3,34,20.4,20000,
Mimic_Translation,1,0,7,7,0,11,8.4,629,
Minecraft,1,1,1,0,1,0,0,2000,
Miner_Guy,1,0,3,1,2,15,15.0,47000,
Miner_To_Miner_Empire,1,0,8,7,1,39,33.3,30000,
Mini_Nomerads,1,0,9,5,4,18,9.0,35530,
Mini_Nomerads_2__Constructaballs,1,0,11,3,8,22,10.0,36000,
Minimalist,1,0,10,10,0,46,20.9,46,
Minsweeper_Demake,1,1,1,0,1,0,0,68000,
Mirror_Bounce,1,0,4,4,0,8,5.8,34,
Misaligned,1,0,10,8,2,39,24.2,57000,
Miss_Direction,1,0,20,15,5,186,77.9,12000,
Mitosys,1,0,15,8,7,26,19.6,68000,
Monster_block_push_game,1,0,10,4,6,30,14.8,65000,
Mow_Problems,1,0,15,4,7,27,18.2,100000,
Mr._Dwarf,1,1,1,0,1,0,0,1000,
Muddy_Sokoban_Level_Set_I,1,0,7,2,5,18,14.5,78000,
Multi-word_Dictionary_Game,1,0,1,1,0,14,14.0,15875,
Multiply,1,0,6,2,4,16,14.5,35000,
NAND_Circuit_Simulator,1,0,9,9,0,2,1.6,2,
N_Queens_Puzzle,1,0,8,2,6,14,10.0,8000,
N_Step_Punt,1,0,2,0,2,0,0,33000,
Net,1,1,1,0,1,0,0,2000,
Nethack_Sokoban,1,1,19,5,13,33,22.6,33000,
Neutralize,1,0,10,7,3,41,21.3,72000,
Newton's_Crates,1,1,17,4,13,79,51.8,11000,
Nirvana,1,0,4,2,2,19,14.0,19000,
No_Ant_Not_Dead,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
No_Fault_of_My_Own,1,0,3,0,3,0,0,19000,
